snip,costo_total_n_distinct,costo_total_stable_flag,costo_total_first,costo_total_last,monto_programado_anual_n_distinct,monto_programado_anual_stable_flag,monto_programado_anual_first,monto_programado_anual_last,montro_asignado_anual_n_distinct,montro_asignado_anual_stable_flag,montro_asignado_anual_first,montro_asignado_anual_last,monto_vigente_anual_n_distinct,monto_vigente_anual_stable_flag,monto_vigente_anual_first,monto_vigente_anual_last
2431,1,0,1168755605.0,1168755605.0,1,0,22031667.49,22031667.49,1,0,0.0,0.0,2,1,0.0,20400000.0
13212,1,0,179200.0,179200.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
15149,1,0,333079717.3,333079717.3,1,0,85000000.0,85000000.0,1,0,0.0,0.0,1,0,0.0,0.0
18435,1,0,84711973.36,84711973.36,1,0,85700000.0,85700000.0,1,0,85700000.0,85700000.0,3,1,10700000.0,911493.0
24234,1,0,940887405.0,940887405.0,1,0,140000000.0,140000000.0,1,0,0.0,0.0,1,0,0.0,0.0
29095,1,0,300000.0,300000.0,1,0,900000.0,900000.0,1,0,900000.0,900000.0,2,1,900000.0,1000000.0
32857,1,0,70674.0,70674.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
33876,1,0,1568954.0,1568954.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
34968,1,0,295690931.0,295690931.0,2,1,9000000.0,7353180.87,1,0,0.0,0.0,1,0,0.0,0.0
37470,1,0,266245733.3,266245733.3,1,0,32500000.0,32500000.0,1,0,0.0,0.0,3,1,0.0,18000000.0
38220,1,0,490499.0,490499.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
43525,1,0,70676.0,70676.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
51536,1,0,2717304.84,2717304.84,1,0,523443.62,523443.62,1,0,0.0,0.0,1,0,0.0,0.0
51617,1,0,6494743.85,6494743.85,1,0,4841128.27,4841128.27,1,0,0.0,0.0,1,0,0.0,0.0
59458,1,0,51505106.52,51505106.52,1,0,50000000.0,50000000.0,1,0,0.0,0.0,2,1,0.0,5000000.0
60132,1,0,969010141.5,969010141.5,1,0,78000000.0,78000000.0,1,0,19886675.0,19886675.0,2,1,19886675.0,54886675.0
66159,1,0,2013154111.0,2013154111.0,1,0,66926791.14,66926791.14,1,0,0.0,0.0,4,1,32950420.0,188313573.0
66292,1,0,2700000.0,2700000.0,1,0,1005484.96,1005484.96,1,0,1377454.0,1377454.0,2,1,1377454.0,1425902.0
66321,1,0,5825217.27,5825217.27,1,0,1714057.0,1714057.0,1,0,0.0,0.0,1,0,1714057.0,1714057.0
68052,1,0,1501500.0,1501500.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
68674,1,0,196589.58,196589.58,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
72219,1,0,175618866.8,175618866.8,1,0,85000000.0,85000000.0,1,0,80296700.0,80296700.0,2,1,80296700.0,13237566.0
72220,1,0,211410006.0,211410006.0,1,0,80000000.0,80000000.0,1,0,79296700.0,79296700.0,2,1,79296700.0,7258096.0
74255,1,0,2864846.28,2864846.28,1,0,1500000.0,1500000.0,1,0,1000000.0,1000000.0,2,1,1000000.0,0.0
78359,1,0,2744622.43,2744622.43,1,0,1088386.0,1088386.0,1,0,0.0,0.0,1,0,1088386.0,1088386.0
79230,1,0,3380730.0,3380730.0,1,0,2400000.0,2400000.0,1,0,2650000.0,2650000.0,1,0,2650000.0,2650000.0
80928,1,0,138998482.4,138998482.4,1,0,8023399.25,8023399.25,1,0,0.0,0.0,1,0,0.0,0.0
91415,1,0,3029053.37,3029053.37,2,1,1570565.0,1574279.0,1,0,0.0,0.0,2,1,0.0,1574279.0
91868,1,0,2000000.0,2000000.0,1,0,628735.0,628735.0,1,0,1739277.0,1739277.0,2,1,1739277.0,1801428.0
99492,1,0,6000000.0,6000000.0,1,0,2006824.08,2006824.08,1,0,0.0,0.0,1,0,0.0,0.0
99919,1,0,2775711.0,2775711.0,2,1,1764306.0,1768269.0,1,0,0.0,0.0,2,1,0.0,1768269.0
100477,1,0,1600000.0,1600000.0,1,0,2000000.0,2000000.0,1,0,2400000.0,2400000.0,1,0,2400000.0,2400000.0
113529,1,0,216066390.0,216066390.0,1,0,53412844.0,53412844.0,1,0,53412997.0,53412997.0,2,1,53412997.0,42412997.0
115270,1,0,90000000.0,90000000.0,1,0,35000000.0,35000000.0,1,0,35000000.0,35000000.0,1,0,35000000.0,35000000.0
116527,1,0,136697671.4,136697671.4,1,0,80000000.0,80000000.0,1,0,79296700.0,79296700.0,2,1,79296700.0,32011522.0
116530,1,0,58500000.0,58500000.0,1,0,14220302.0,14220302.0,1,0,0.0,0.0,1,0,0.0,0.0
116535,1,0,221540000.0,221540000.0,1,0,65000000.0,65000000.0,1,0,64000000.0,64000000.0,1,0,64000000.0,64000000.0
116577,1,0,98660000.0,98660000.0,1,0,26000000.0,26000000.0,1,0,25660000.0,25660000.0,2,1,3260000.0,1260000.0
116666,1,0,84221326.0,84221326.0,1,0,40000000.0,40000000.0,1,0,40000000.0,40000000.0,2,1,40000000.0,27950000.0
117588,1,0,8000000.0,8000000.0,1,0,13120063.88,13120063.88,1,0,3000000.0,3000000.0,2,1,3000000.0,0.0
117626,1,0,6000000.0,6000000.0,1,0,6049904.01,6049904.01,1,0,1000000.0,1000000.0,2,1,1000000.0,0.0
120818,1,0,4275364.51,4275364.51,1,0,2453926.58,2453926.58,1,0,0.0,0.0,1,0,0.0,0.0
