departamento,municipio,proyectos,presupuesto_vigente,ejecutado_total,no_ejecutado,riesgo_fiscal_total,riesgo_fiscal_prom,n_no_iniciado,n_en_ejecucion,n_en_meseta,n_finalizado,ratio_ejec_agg,n_inconsistencia_estado_momento,presupuesto_inconsistencia_estado_momento,score_concentracion_baja_ejec
Alta Verapaz,Cahabón,56,65025413.4,14571667.24,50453746.16,300.42360839451084,5.364707292759122,40,5,11,0,0.22409188159040602,0,0.0,471.80781476139185
Alta Verapaz,Chahal,46,69736240.78999999,26204579.509999998,43531661.28,313.2800990325839,6.810436935490954,18,9,19,0,0.37576702175431387,0,0.0,304.39237328673977
Alta Verapaz,Chisec,80,57265296.2,6070226.63,51195069.57,332.6958857805017,4.158698572256272,74,2,4,0,0.10600183763652653,0,0.0,776.1260966205155
Alta Verapaz,Cobán,149,345015155.86,122902827.76,222112328.1,749.632859808723,5.031093018850489,95,18,35,1,0.35622443151416633,1,2251301.76,1088.4200914281744
Alta Verapaz,Fray Bartolomé de las Casas,52,95939037.9,36144980.7,59794057.2,326.24674590212373,6.273975882733149,26,19,7,0,0.3767494597733505,0,0.0,254.29791415395195
Alta Verapaz,Lanquín,38,100056229.24,57540570.279999994,42515658.96,262.590138050456,6.910266790801474,26,4,8,0,0.5750823383717593,0,0.0,180.03276340498445
Alta Verapaz,Multimunicipal - Alta Verapaz,3,7258096.0,6258093.78,1000002.2199999997,2.176557502403351,0.7255191674677838,2,0,1,0,0.8622225140036727,0,0.0,6.529672507210053
Alta Verapaz,Panzós,43,65726376.14,9644350.51,56082025.629999995,380.3887266451375,8.846249456863664,33,3,7,0,0.1467348586122734,0,0.0,405.4943665042817
Alta Verapaz,Raxruhá,57,59389271.6,18041176.0,41348095.6,214.06320678243117,3.7554948558321257,44,6,7,0,0.30377836794347884,0,0.0,411.2494832909977
Alta Verapaz,San Cristóbal Verapaz,33,57269374.879999995,9692803.16,47576571.72,232.58635525067442,7.048071371232558,20,7,6,0,0.16924932706721385,0,0.0,264.1507370007291
Alta Verapaz,San Juan Chamelco,47,142302263.25,41208242.15,101094021.1,284.87739326401294,6.061221133276871,17,7,23,0,0.2895824789350285,0,0.0,394.77513306661535
Alta Verapaz,San Pedro Carchá,68,119577179.2,21810476.67,97766702.53,397.0610873848596,5.839133638012641,52,10,6,0,0.18239664805540087,0,0.0,562.6586716632049
Alta Verapaz,Santa Catalina la Tinta,49,32200850.36,2679530.94,29521319.42,238.53420078390604,4.868044913957267,43,0,6,0,0.08321304903576465,0,0.0,500.8270594531965
Alta Verapaz,Santa Cruz Verapaz,63,62786999.96,23261226.32,39525773.64,316.8121915970996,5.028764945985708,37,5,21,0,0.3704783846149543,0,0.0,452.12893641780346
Alta Verapaz,Senahú,54,50255547.28,6086756.08,44168791.2,286.4089381830179,5.303869225611442,41,3,10,0,0.12111610378228478,0,0.0,523.6534555983025
Alta Verapaz,Tactic,76,68191868.4,14107991.02,54083877.379999995,537.6886750447376,7.074850987430757,56,8,12,0,0.2068867058641848,0,0.0,632.3272972324348
Alta Verapaz,Tamahú,43,27060364.759999998,6170141.0,20890223.759999998,111.30239798273851,2.5884278600636863,37,2,4,0,0.22801396266175092,0,0.0,348.78215716435693
Alta Verapaz,Tucurú,28,43684040.6,7709582.0,35974458.6,131.42094873954102,4.693605312126465,22,6,0,0,0.17648509373466703,0,0.0,205.7250640037597
Baja Verapaz,Cubulco,78,167815517.49,75239577.53999999,92575939.95,523.1546193826392,6.707110504905631,50,11,11,6,0.4483469625774235,6,1404816.3399999999,415.80701950393734
Baja Verapaz,Granados,33,18861919.53,8591670.73,10270248.8,183.52342612852271,5.561315943288567,10,4,15,4,0.4555035194766309,4,1388359.2,173.31347888824106
Baja Verapaz,Purulhá,54,62894778.89,28460355.43,34434423.46,331.551233611207,6.139837659466797,18,24,5,7,0.4525074407173896,7,4148442.01,155.33469014894845
Baja Verapaz,Rabinal,50,82945064.23,35732614.74,47212449.49,301.6002190348596,6.032004380697192,9,8,28,5,0.43079856615598405,5,3878724.4,298.90488872742367
Baja Verapaz,Salamá,45,84985490.16,39567059.46,45418430.7,265.15860630818656,5.892413473515257,9,21,12,3,0.4655742925705096,3,358440.14,156.12063702315277
Baja Verapaz,San Jerónimo,40,43786796.99,11383617.32,32820339.27,362.53393337480196,9.06334833437005,29,3,5,3,0.2599783063054323,3,1024897.56,291.660666161208
Baja Verapaz,San Miguel Chicaj,52,62671388.019999996,24734251.96,37937136.06,325.94293371300535,6.268133340634718,16,24,9,3,0.3946657755865673,3,2704000.0,193.44714080783774
Baja Verapaz,Santa Cruz el Chol,36,64136728.42,23496046.86,40676281.56,245.2456069296086,6.812377970266906,8,18,10,0,0.3663430835781941,0,0.0,157.19512584456945
Chimaltenango,Acatenango,81,58679423.15,21810954.46,36868468.69,422.6023526883225,5.21731299615213,24,18,20,19,0.371696811065192,19,7381172.86,352.8994482809607
Chimaltenango,Chimaltenango,70,137974771.47,35606235.05,102368536.42,617.3119135470588,8.81874162210084,33,11,26,0,0.2580633739824088,0,0.0,578.4815970042865
Chimaltenango,Comalapa,99,68348600.8,17760997.81,50587602.99,887.9641904714108,8.969335257286978,58,18,23,0,0.2598589817803556,0,0.0,723.6914849067207
Chimaltenango,El Tejar,40,93969261.35,51030848.47,42938412.88,223.29291055910355,5.582322763977588,9,12,19,0,0.5430589507342126,0,0.0,181.19683439228947
Chimaltenango,Multimunicipal - Chimaltenango,4,20706285.0,10304580.26,10401704.74,8.462482572368346,2.1156206430920865,3,0,1,0,0.49765471015201423,0,0.0,30.464937260526042
Chimaltenango,Parramos,53,48802198.9,29677553.84,19124645.06,224.85059484949477,4.242464053764052,13,24,10,6,0.6081191935800253,6,3576948.42,116.55130996759779
Chimaltenango,Patzicía,45,49821829.66,26527691.7,23294137.96,273.29973344277624,6.0733274098394725,10,20,15,0,0.5324511741345792,0,0.0,157.44955093504615
Chimaltenango,Patzún,55,65603653.14,26858894.77,39833429.28,299.91262838825855,5.4529568797865196,14,16,25,0,0.4094115721373378,0,0.0,312.5244975448044
Chimaltenango,Pochuta,37,34977328.769999996,12254343.85,22722984.92,200.7026937001299,5.424397127030538,16,19,2,0,0.35035104969223757,0,0.0,137.67137751484682
Chimaltenango,San Andrés Itzapa,69,48542609.6,19640473.81,28902135.79,307.56102527340744,4.457406163382717,28,6,29,6,0.40460275975768717,6,855997.17,432.02979609250536
Chimaltenango,San José Poaquil,59,49742906.62,18404497.66,31338408.96,367.95725468662675,6.236563638756386,20,21,18,0,0.36999240516034004,0,0.0,305.92738482349665
Chimaltenango,San Martín Jilotepeque,83,56040934.11,21896549.169999998,34144384.94,320.6101745941713,3.862773187881582,41,10,21,11,0.39072420040358957,11,6865737.03,460.9071147803754
Chimaltenango,Santa Apolonia,66,24902634.62,4864042.41,20038592.21,358.69486321449966,5.434770654765146,46,5,15,0,0.19532240199571302,0,0.0,556.384394359117
Chimaltenango,Santa Cruz Balanyá,57,70685084.76,31877593.82,38807490.94,391.87779047917326,6.875048955774969,11,23,17,6,0.45098048517923284,6,1549752.54,210.36418250474776
Chimaltenango,Tecpán Guatemala,80,54500546.17,23998426.46,30502119.71,483.68684548159035,6.04608556851988,33,24,23,0,0.4403336873935772,0,0.0,390.81379676659174
Chimaltenango,Yepocapa,70,93534247.82,40694026.93,52840220.89,230.5759546509413,3.2939422092991615,33,14,15,8,0.43507087380777104,8,3018705.22,340.0906635306755
Chimaltenango,Zaragoza,61,55088951.58,17139440.73,37949510.85,336.77321320809506,5.52087234767369,30,16,7,8,0.31112301538558346,8,3704963.69,302.05995819816195
Chiquimula,Camotán,75,105101162.7,37049048.8,68052113.9,533.2698088390571,7.110264117854094,30,13,32,0,0.35250845802488917,0,0.0,533.3914580518261
Chiquimula,Chiquimula,70,216438453.74,77310942.28999999,139127511.45,519.3554190189011,7.419363128841444,40,21,5,4,0.3571959647377214,4,3758843.0,357.7793823629571
Chiquimula,Concepción Las Minas,42,49767239.32,25711943.490000002,24055295.83,283.6666413226158,6.753967650538472,7,26,9,0,0.5166439577786088,0,0.0,106.22404313981234
Chiquimula,Esquipulas,57,118382530.67,40692505.36,77690025.31,457.7215927750325,8.030203382018113,19,29,6,3,0.3437374174187351,3,2766516.1900000004,209.83223381798044
Chiquimula,Ipala,47,74797126.23,22316595.3,52480530.93,253.84143857568648,5.400881671823116,18,28,1,0,0.29836166741723225,0,0.0,160.28342152496245
Chiquimula,Jocotán,69,65089822.13,6975326.79,58114495.34,619.1385210573009,8.973022044308708,53,7,9,0,0.10716463130085987,0,0.0,642.5300004960798
Chiquimula,Multimunicipal - Chiquimula,1,13975525.0,1025384.78,12950140.22,15.245674341222344,15.245674341222344,0,0,1,0,0.07337003654603316,0,0.0,27.44221381420022
Chiquimula,Olopa,85,61633545.3,25523434.53,36110110.77,477.84291816245843,5.62168139014657,41,32,12,0,0.4141159559419341,0,0.0,369.91103469255836
Chiquimula,Quezaltepeque,98,78034047.65,32582298.14,45477236.51,420.85606382285124,4.2944496308454205,66,23,8,1,0.41753951154935376,1,0.0,497.4881370536218
Chiquimula,San Jacinto,57,31456566.3,9751937.98,21704628.32,326.11632378576354,5.721339013785325,25,29,2,1,0.31001279310005303,1,187485.0,209.65156591419174
Chiquimula,San José La Arada,74,53559715.87,17061909.0,36497806.87,592.1307824694078,8.001767330667672,33,25,14,2,0.3185586167300182,2,362790.0,388.0684991761644
Chiquimula,San Juan Ermita,56,37137436.2,11340890.66,25796545.54,398.72041241194495,7.120007364499017,25,22,9,0,0.3053762408079209,0,0.0,280.8913706601754
El Progreso,El Jícaro,45,46068819.8,12858432.18,33210387.62,264.1374124993601,5.869720277763558,25,3,17,0,0.2791135574087357,0,0.0,376.5270264500699
El Progreso,Guastatoya,74,148370942.55,103637300.24,44483642.31,261.20820185267286,3.5298405655766603,21,37,5,11,0.6985013268691403,11,8411172.030000001,99.84067623495638
El Progreso,Morazán,64,49794319.86,15515346.33,34278973.53,325.70214200497594,5.089095968827749,33,8,23,0,0.31158867866098816,0,0.0,478.27908737704627
El Progreso,Multimunicipal - El Progreso,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,0,0.0,0.0
El Progreso,San Agustín Acasaguastlán,71,56542976.87,14815719.45,41727257.42,354.42012827940886,4.99183279266773,34,11,26,0,0.2620258124021902,0,0.0,555.9097480908323
El Progreso,San Antonio La Paz,44,98909585.8,17221125.450000007,81688460.35,143.63352323395813,3.2643982553172304,27,15,2,0,0.17410977217943224,0,0.0,285.8428166525004
El Progreso,San Cristóbal Acasaguastlán,54,23138406.2,7953738.25,15184667.95,108.12014656193287,2.00222493633209,39,9,6,0,0.34374615871338626,0,0.0,324.94049965348864
El Progreso,Sanarate,73,56433830.2,26755256.6,29678573.599999998,320.69846591299006,4.39312967004096,45,19,8,1,0.47409960488558156,1,0.0,322.89817822810625
El Progreso,Sansare,36,63504234.1,24851332.75,38652901.35,189.3252802761305,5.259035563225847,12,14,10,0,0.39133347724289774,0,0.0,177.15798992007356
Escuintla,Escuintla,43,189932227.87,98008589.88,91923637.99000001,210.3838052315745,4.89264663329243,5,32,6,0,0.5160187451025027,0,0.0,81.18648357308966
Escuintla,Guanagazapa,78,40999589.92,10518757.64,30480832.28,452.6351484989887,5.803014724346009,62,14,2,0,0.25655763046714886,0,0.0,518.667841116798
Escuintla,Iztapa,58,66725430.67,38588363.28,28137067.39,175.504870722056,3.0259460469320003,16,26,16,0,0.5783156870255987,0,0.0,177.77226563365784
Escuintla,La Democracia,37,78917979.31,51265639.879999995,27652339.43,174.57372953948297,4.718208906472513,11,19,7,0,0.6496065957115038,0,0.0,84.10413671198458
Escuintla,La Gomera,25,108470361.75999999,69217541.46000001,39252820.3,117.11646743709177,4.684658697483671,6,18,0,1,0.6381240030631572,1,4435382.0,30.798955856123246
Escuintla,Masagua,55,107778448.43,21767115.14,86011333.28999999,207.05028511473944,3.764550638449808,31,7,14,3,0.20196166726353754,3,170000.0,454.61380386231616
